               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08893,            0.030294,            0.022496,           0.0088463,                0.76,            0.013685,           0.0046611,            0.078995,             0.01969,            0.021933,              0.0946,              0.0006,              0.0006
                   1,            0.089629,            0.035328,            0.021966,            0.050656,                0.14,            0.066569,            0.021068,            0.062692,             0.01726,            0.018878,            0.088294,           0.0012936,           0.0012936
                   2,            0.084043,            0.032291,            0.021466,             0.33419,                0.26,             0.24705,             0.09217,            0.058937,            0.016073,            0.019333,             0.08198,           0.0019802,           0.0019802
                   3,            0.068065,            0.029221,            0.013585,             0.44923,                0.18,             0.26088,             0.10237,            0.062714,            0.014621,            0.019022,             0.07566,           0.0026599,           0.0026599
                   4,            0.060634,            0.029425,            0.012933,             0.45782,                0.56,              0.4205,             0.18541,            0.039256,            0.012807,            0.008049,            0.069333,           0.0033327,           0.0033327
                   5,            0.050526,            0.026659,            0.011141,             0.33533,                0.54,             0.27911,             0.13406,            0.042119,            0.011762,           0.0051052,            0.062999,           0.0039985,           0.0039985
                   6,            0.045379,            0.025949,           0.0059819,             0.48179,                0.66,             0.49691,             0.23503,            0.041063,            0.009923,           0.0034109,            0.056657,           0.0046574,           0.0046574
                   7,            0.038902,            0.023376,           0.0033873,             0.30969,             0.55634,             0.28918,             0.12888,            0.046822,           0.0083592,           0.0034994,            0.050309,           0.0053094,           0.0053094
                   8,            0.044716,            0.022168,           0.0036357,             0.44061,                 0.6,             0.48398,             0.26787,            0.038237,           0.0069934,           0.0029646,            0.043954,           0.0059545,           0.0059545
                   9,            0.047908,            0.020957,           0.0033391,             0.58094,                0.44,             0.49308,              0.2223,            0.047506,           0.0072067,           0.0041767,            0.037593,           0.0065926,           0.0065926
                  10,            0.058448,            0.023176,           0.0036686,             0.44348,                0.58,             0.47205,             0.22637,            0.047938,           0.0059906,            0.002883,            0.031224,           0.0072238,           0.0072238
                  11,            0.059501,            0.021672,           0.0034371,             0.68627,                0.42,             0.52308,             0.23291,            0.050584,           0.0066198,           0.0029509,            0.024848,           0.0078481,           0.0078481
                  12,            0.051642,            0.015702,           0.0020584,              0.4564,                0.52,              0.4809,             0.23154,            0.053062,           0.0065135,           0.0038692,            0.018465,           0.0084654,           0.0084654
                  13,            0.056716,            0.018149,           0.0022261,               0.508,                0.56,             0.48978,             0.24124,            0.054813,           0.0061606,           0.0037477,            0.012076,           0.0090758,           0.0090758
                  14,            0.052475,            0.020205,           0.0021891,             0.63392,                0.48,             0.52907,             0.25847,            0.047635,           0.0061905,           0.0035187,            0.009307,            0.009307,            0.009307
                  15,            0.051543,            0.018565,           0.0025277,             0.55957,                0.48,             0.50265,             0.24596,             0.05071,           0.0061305,           0.0041477,            0.009307,            0.009307,            0.009307
                  16,            0.045854,            0.023951,           0.0022639,             0.67142,                0.54,             0.56892,              0.2947,            0.048205,           0.0064573,            0.004649,           0.0092575,           0.0092575,           0.0092575
                  17,            0.060433,            0.020127,           0.0021312,             0.64946,             0.63004,             0.56959,             0.25603,            0.046039,           0.0069958,           0.0071133,            0.009208,            0.009208,            0.009208
                  18,            0.046117,            0.021779,           0.0020997,             0.59946,                0.44,             0.44935,             0.19991,            0.037006,           0.0072566,           0.0048729,           0.0091585,           0.0091585,           0.0091585
                  19,            0.039658,            0.021114,           0.0017181,             0.22612,                0.26,             0.23188,             0.10813,            0.038567,           0.0075037,           0.0053909,            0.009109,            0.009109,            0.009109
                  20,            0.040805,            0.025219,           0.0019057,             0.12991,                 0.4,             0.13651,            0.049918,            0.038552,           0.0076528,           0.0053219,           0.0090595,           0.0090595,           0.0090595
