               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039322,             0.02828,           0.0013165,             0.84356,             0.75501,             0.76595,             0.41222,            0.021378,           0.0060228,           0.0011752,             0.00307,             0.00307,             0.00307
                  37,            0.028308,            0.019058,          0.00095105,             0.83771,                0.78,             0.74796,             0.37314,              0.0213,           0.0059636,           0.0010817,            0.002872,            0.002872,            0.002872
                  38,             0.02501,            0.015502,           0.0006873,             0.84804,                0.76,             0.76876,             0.42976,            0.020827,           0.0057657,           0.0010607,            0.002674,            0.002674,            0.002674
                  39,             0.03091,            0.018851,          0.00078939,             0.90998,             0.80878,             0.83087,             0.47046,             0.02232,           0.0056755,           0.0012204,            0.002476,            0.002476,            0.002476
                  40,             0.02407,            0.018259,          0.00067157,             0.88062,                0.82,             0.84152,             0.46023,            0.025171,           0.0055623,           0.0014301,            0.002278,            0.002278,            0.002278
                  41,              0.0278,            0.015107,          0.00072762,              0.8857,             0.77499,             0.80414,             0.48843,            0.025649,           0.0055742,           0.0015755,             0.00208,             0.00208,             0.00208
                  42,            0.030317,            0.014816,          0.00070414,             0.94577,                0.76,             0.85054,             0.48332,            0.025798,           0.0055156,           0.0013825,            0.001882,            0.001882,            0.001882
                  43,             0.02801,            0.016463,          0.00058244,             0.91043,             0.81324,             0.85905,             0.51337,            0.024961,           0.0054306,           0.0011456,            0.001684,            0.001684,            0.001684
                  44,            0.031257,            0.017725,          0.00082541,             0.87369,             0.83018,             0.85868,             0.50592,            0.024142,           0.0053776,           0.0010638,            0.001486,            0.001486,            0.001486
                  45,            0.031579,            0.014848,           0.0012071,             0.87289,             0.82412,             0.87001,             0.52458,            0.025297,           0.0053307,           0.0010676,            0.001288,            0.001288,            0.001288
                  46,            0.039048,            0.019337,          0.00094415,             0.90822,             0.79175,             0.87485,              0.5201,            0.025076,           0.0052781,           0.0010564,             0.00109,             0.00109,             0.00109
                  47,            0.031673,            0.016311,          0.00095146,             0.89499,                0.78,             0.81908,             0.51696,            0.024323,            0.005286,          0.00098886,            0.000892,            0.000892,            0.000892
                  48,            0.021814,            0.014754,          0.00042167,             0.90832,                 0.8,             0.86669,             0.52832,            0.024409,           0.0053189,          0.00099735,            0.000694,            0.000694,            0.000694
                  49,            0.025379,            0.016779,          0.00054405,             0.85059,             0.79705,             0.80927,              0.5185,            0.024289,           0.0054253,          0.00096474,            0.000496,            0.000496,            0.000496
