               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10472,            0.031706,            0.025949,            0.006912,                 0.8,            0.011072,           0.0037466,             0.12698,            0.020992,            0.033429,              0.0973,              0.0003,              0.0003
                   1,              0.1012,            0.033886,            0.025708,            0.013771,                0.72,            0.016408,           0.0049363,             0.11702,            0.019108,            0.031049,            0.093693,          0.00069307,          0.00069307
                   2,            0.094312,            0.030337,            0.024369,            0.020096,                0.22,            0.024323,           0.0075021,             0.10327,            0.018068,             0.03172,            0.090078,           0.0010782,           0.0010782
                   3,            0.092505,            0.033606,            0.026485,            0.043464,                 0.5,            0.071562,            0.027154,             0.10221,            0.017302,            0.034589,            0.086455,           0.0014555,           0.0014555
                   4,            0.079101,            0.031882,            0.020411,             0.14457,                0.22,             0.11003,            0.036142,             0.10227,            0.016657,            0.032208,            0.082825,           0.0018248,           0.0018248
                   5,            0.055122,            0.026676,            0.013536,             0.59493,             0.29392,             0.39767,             0.18071,            0.079239,            0.015402,            0.019019,            0.079186,           0.0021861,           0.0021861
                   6,            0.056349,            0.031506,            0.011378,             0.62611,                0.42,             0.52894,             0.24767,            0.074505,            0.014032,            0.016589,             0.07554,           0.0025396,           0.0025396
                   7,             0.05821,            0.030865,             0.01165,             0.36918,                0.44,             0.36815,             0.15502,            0.088899,            0.013046,            0.017111,            0.071885,           0.0028852,           0.0028852
                   8,            0.061099,            0.029021,            0.009551,             0.68878,             0.48701,             0.56297,             0.28441,            0.084239,            0.013202,            0.012677,            0.068223,           0.0032228,           0.0032228
                   9,             0.05646,            0.027613,           0.0065193,             0.26336,                 0.5,             0.22388,             0.10124,            0.067613,            0.013084,           0.0060455,            0.064553,           0.0035525,           0.0035525
                  10,            0.061422,            0.026631,           0.0055204,             0.57689,             0.68175,             0.58069,             0.30675,            0.076321,            0.011168,           0.0073204,            0.060874,           0.0038743,           0.0038743
