               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08893,            0.030294,            0.022496,           0.0088463,                0.76,            0.013685,           0.0046611,            0.078995,             0.01969,            0.021933,              0.0946,              0.0006,              0.0006
                   1,            0.089648,            0.035325,            0.021973,            0.052028,                0.16,            0.065385,             0.02096,            0.062701,            0.017264,            0.018881,            0.088287,           0.0012871,           0.0012871
                   2,            0.083974,            0.032329,            0.021496,             0.19839,                0.26,             0.18834,            0.079456,            0.061533,            0.016258,            0.019528,             0.08196,           0.0019604,           0.0019604
                   3,            0.068775,            0.029581,            0.014129,             0.35119,                0.16,              0.2622,             0.10266,            0.059108,            0.015116,            0.018845,             0.07562,           0.0026198,           0.0026198
                   4,            0.063314,            0.029755,            0.013093,             0.46631,                 0.4,             0.38716,             0.18585,            0.047255,            0.013377,            0.010501,            0.069265,           0.0032654,           0.0032654
                   5,            0.052663,            0.026993,            0.011202,              0.4278,                0.48,             0.49852,             0.21591,            0.039045,            0.012326,           0.0093063,            0.062897,            0.003897,            0.003897
                   6,            0.044892,            0.026531,           0.0062414,             0.50682,                0.62,             0.51203,             0.24154,            0.049365,           0.0099924,           0.0058094,            0.056515,           0.0045149,           0.0045149
                   7,            0.040728,            0.023519,           0.0035508,             0.47666,             0.60116,             0.40591,             0.17263,            0.046332,           0.0084667,           0.0052553,            0.050119,           0.0051188,           0.0051188
                   8,            0.045035,            0.022101,            0.003417,             0.48334,                0.58,             0.46776,              0.2316,            0.040717,           0.0068336,           0.0036154,            0.043709,            0.005709,            0.005709
                   9,            0.050759,            0.019932,           0.0033335,             0.46001,             0.61342,             0.47349,             0.25552,            0.041462,           0.0060927,            0.003351,            0.037285,           0.0062852,           0.0062852
                  10,            0.049923,            0.023906,           0.0031395,             0.51736,                 0.6,             0.55754,             0.29233,            0.046611,           0.0066845,           0.0046456,            0.030848,           0.0068476,           0.0068476
                  11,            0.054544,            0.023049,           0.0039705,             0.66845,                0.64,             0.67894,             0.37982,             0.04013,           0.0070244,            0.002944,            0.024396,           0.0073961,           0.0073961
