               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10472,            0.031706,            0.025949,            0.006912,                 0.8,            0.011072,           0.0037466,             0.12698,            0.020992,            0.033429,              0.0973,              0.0003,              0.0003
                   1,             0.10122,            0.033877,            0.025702,            0.011716,                0.76,            0.015966,           0.0047797,             0.11702,            0.019106,            0.031036,            0.093686,          0.00068614,          0.00068614
                   2,            0.094382,            0.030332,            0.024393,            0.020244,                0.22,             0.02523,           0.0075571,             0.10349,            0.018082,            0.031696,            0.090056,           0.0010564,           0.0010564
                   3,            0.092612,            0.033628,            0.026482,            0.032836,                0.58,             0.06963,            0.025578,             0.10379,            0.017303,            0.034973,            0.086411,           0.0014109,           0.0014109
                   4,            0.079138,            0.031922,            0.020629,            0.029653,                 0.8,            0.088182,            0.028068,             0.10609,            0.016807,            0.031891,             0.08275,           0.0017495,           0.0017495
                   5,            0.054479,            0.026945,            0.013812,             0.51968,                0.34,             0.38762,             0.20233,             0.08666,            0.015439,              0.0194,            0.079072,           0.0020723,           0.0020723
                   6,            0.058585,            0.031102,            0.011568,             0.52684,                0.42,             0.50245,             0.24904,            0.088152,            0.013782,            0.016324,            0.075379,           0.0023792,           0.0023792
                   7,            0.059739,            0.030869,            0.011864,             0.50619,                0.48,             0.53546,             0.28947,            0.078269,            0.012834,            0.013109,             0.07167,           0.0026703,           0.0026703
                   8,            0.061918,            0.029374,           0.0097982,             0.48587,             0.68044,             0.62788,             0.31737,            0.077277,            0.012298,            0.011081,            0.067946,           0.0029456,           0.0029456
                   9,            0.056624,            0.028144,           0.0077182,             0.59741,                0.58,             0.62764,             0.28372,            0.073475,            0.011643,           0.0084541,            0.064205,            0.003205,            0.003205
                  10,            0.060058,            0.027968,           0.0079751,             0.55524,             0.69912,             0.62235,             0.27904,            0.087992,            0.010829,            0.010146,            0.060449,           0.0034486,           0.0034486
                  11,            0.051201,            0.026256,           0.0051761,             0.39276,                0.64,             0.38214,             0.19143,             0.09229,            0.009516,            0.010184,            0.056676,           0.0036763,           0.0036763
                  12,             0.05353,            0.020969,           0.0044414,             0.49936,                0.62,             0.50863,             0.26247,            0.094368,           0.0075243,           0.0086281,            0.052888,           0.0038882,           0.0038882
                  13,            0.060532,            0.022052,           0.0049256,             0.40291,                0.56,             0.47897,             0.23441,            0.092481,           0.0075042,           0.0088821,            0.049084,           0.0040843,           0.0040843
                  14,            0.049048,            0.022294,           0.0037176,             0.50042,                 0.5,             0.51653,             0.22983,             0.08117,           0.0080545,            0.012029,            0.045265,           0.0042645,           0.0042645
                  15,            0.052719,            0.024294,           0.0029083,             0.51185,                0.44,             0.47033,             0.23319,            0.087127,           0.0079281,             0.01319,            0.041429,           0.0044289,           0.0044289
                  16,            0.049244,             0.02149,           0.0025216,             0.61556,                0.48,             0.50662,             0.24912,            0.080465,           0.0078599,             0.01118,            0.037577,           0.0045774,           0.0045774
                  17,            0.036105,            0.019443,           0.0019477,             0.49905,                0.54,             0.44812,             0.21702,            0.078835,           0.0075781,            0.010394,             0.03371,           0.0047101,           0.0047101
                  18,            0.037682,            0.022982,           0.0019253,             0.53759,                0.64,             0.57753,             0.26283,            0.080019,           0.0079029,            0.016756,            0.029827,            0.004827,            0.004827
                  19,            0.048034,            0.018156,           0.0020095,             0.42581,                0.62,             0.42229,             0.19134,            0.077968,           0.0075645,            0.020044,            0.025928,            0.004928,            0.004928
                  20,            0.047564,            0.019068,           0.0019324,             0.53959,                0.52,             0.45101,             0.20232,             0.07568,           0.0075192,            0.013898,            0.022013,           0.0050132,           0.0050132
                  21,              0.0355,            0.016624,            0.001858,             0.45985,             0.57893,             0.40906,             0.19736,            0.078091,           0.0070713,            0.010051,            0.018083,           0.0050825,           0.0050825
                  22,            0.045927,            0.020089,           0.0018332,             0.55781,                0.62,              0.4957,             0.25078,            0.076776,           0.0072665,            0.010654,            0.014136,            0.005136,            0.005136
                  23,            0.034103,            0.018485,           0.0015311,             0.43517,             0.64723,             0.41766,             0.22026,            0.075037,           0.0070963,            0.009269,            0.010174,           0.0051737,           0.0051737
                  24,            0.050661,            0.024692,           0.0020142,             0.75061,                0.62,             0.61776,             0.33384,            0.079722,           0.0075688,           0.0077179,           0.0061955,           0.0051955,           0.0051955
                  25,            0.041691,            0.018015,            0.001888,             0.45957,                0.62,             0.47643,             0.26651,            0.081529,            0.007513,           0.0070412,             0.00505,             0.00505,             0.00505
                  26,            0.037848,            0.018267,           0.0015336,             0.69074,             0.62547,             0.58944,              0.3199,            0.065068,           0.0072606,           0.0049339,             0.00505,             0.00505,             0.00505
                  27,            0.042851,            0.019972,           0.0020174,              0.4612,                0.56,             0.40925,             0.24162,            0.059864,           0.0071664,            0.003862,            0.004852,            0.004852,            0.004852
                  28,            0.053237,            0.033906,           0.0022164,             0.77062,                0.66,             0.63996,             0.32669,             0.06661,           0.0073054,           0.0044777,            0.004654,            0.004654,            0.004654
                  29,            0.030855,            0.018566,           0.0011126,             0.47854,                0.66,             0.47826,             0.26892,            0.082018,           0.0071588,            0.007325,            0.004456,            0.004456,            0.004456
                  30,            0.034958,            0.018926,           0.0012814,             0.48454,             0.65803,             0.50714,              0.2778,            0.072228,           0.0073941,           0.0078331,            0.004258,            0.004258,            0.004258
                  31,            0.038131,            0.020847,           0.0016581,             0.77622,             0.62446,             0.63033,             0.33433,            0.070944,           0.0073688,           0.0067574,             0.00406,             0.00406,             0.00406
                  32,            0.039938,            0.016983,           0.0015175,             0.52499,                0.66,             0.49851,             0.24713,            0.077243,           0.0072935,           0.0070419,            0.003862,            0.003862,            0.003862
                  33,            0.038227,            0.020893,           0.0024095,             0.69384,              0.6799,             0.64592,             0.33715,            0.073077,           0.0068498,           0.0061638,            0.003664,            0.003664,            0.003664
                  34,            0.041002,            0.020805,           0.0014351,             0.55768,             0.75654,             0.52153,             0.28513,            0.064624,           0.0069368,           0.0052094,            0.003466,            0.003466,            0.003466
                  35,            0.034065,            0.018261,           0.0012915,              0.7399,                0.76,             0.67447,             0.37809,            0.062091,           0.0069387,           0.0059082,            0.003268,            0.003268,            0.003268
                  36,            0.038882,            0.018527,           0.0012483,             0.80851,                 0.7,             0.72562,             0.37876,            0.040091,           0.0069637,           0.0023575,             0.00307,             0.00307,             0.00307
                  37,            0.027124,            0.015978,          0.00090928,             0.71008,                 0.7,             0.61521,              0.3318,             0.04383,           0.0066738,           0.0024313,            0.002872,            0.002872,            0.002872
                  38,            0.037195,            0.019798,           0.0011017,             0.84559,             0.65721,              0.7396,             0.39103,            0.035921,           0.0065567,           0.0020259,            0.002674,            0.002674,            0.002674
                  39,            0.033133,            0.018504,           0.0011817,             0.85733,                0.74,             0.78947,             0.48831,            0.035287,           0.0064073,           0.0018473,            0.002476,            0.002476,            0.002476
                  40,             0.03068,            0.018323,          0.00097799,             0.82376,             0.74798,             0.78832,             0.45636,            0.040864,           0.0062325,           0.0016163,            0.002278,            0.002278,            0.002278
                  41,            0.042242,            0.026965,           0.0018091,             0.83634,                0.76,             0.78279,             0.44678,            0.048319,           0.0062969,           0.0020939,             0.00208,             0.00208,             0.00208
                  42,            0.034119,            0.019723,          0.00070248,             0.82575,                0.74,             0.80317,             0.52926,            0.047552,            0.006218,           0.0021599,            0.001882,            0.001882,            0.001882
                  43,            0.037857,            0.026896,           0.0014243,             0.92673,                0.74,             0.82802,             0.50024,            0.053029,           0.0060401,           0.0023342,            0.001684,            0.001684,            0.001684
