               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10472,            0.031706,            0.025949,            0.006912,                 0.8,            0.011072,           0.0037466,             0.12698,            0.020992,            0.033429,              0.0973,              0.0003,              0.0003
                   1,              0.1012,            0.033886,            0.025705,            0.013771,                0.72,            0.016362,           0.0048343,             0.11701,            0.019094,            0.030994,            0.093698,          0.00069827,          0.00069827
                   2,            0.094267,            0.030341,            0.024357,            0.020375,                0.22,            0.024497,           0.0075496,             0.10317,            0.018061,            0.031744,            0.090095,           0.0010946,           0.0010946
                   3,            0.092276,            0.033642,            0.026406,            0.030993,                0.66,            0.071277,            0.027487,             0.10308,            0.017262,            0.034589,            0.086489,           0.0014889,           0.0014889
                   4,            0.078781,            0.031869,             0.02032,             0.16816,                0.22,             0.10123,            0.036185,               0.102,            0.016627,            0.032336,            0.082881,           0.0018812,           0.0018812
                   5,            0.054669,            0.026639,            0.013417,             0.53941,             0.30462,             0.39601,             0.17417,            0.075253,            0.015432,            0.018365,            0.079272,           0.0022715,           0.0022715
                   6,            0.055977,            0.031475,            0.011221,             0.54391,             0.45328,             0.48413,             0.22819,            0.083915,            0.013821,            0.014883,             0.07566,           0.0026599,           0.0026599
                   7,            0.057284,            0.030663,              0.0113,              0.3173,                0.38,              0.3201,                0.13,            0.088627,            0.012836,            0.016766,            0.072046,           0.0030463,           0.0030463
                   8,            0.060469,            0.028483,           0.0092197,             0.43195,                0.58,             0.48092,             0.21709,            0.074154,            0.012212,           0.0093307,            0.068431,           0.0034307,           0.0034307
                   9,            0.056823,            0.027358,           0.0063341,             0.49593,                0.44,             0.45058,             0.22571,            0.082031,             0.01161,           0.0088089,            0.064813,           0.0038131,           0.0038131
                  10,            0.060393,            0.026644,           0.0065207,             0.63436,             0.38174,             0.49023,             0.26406,            0.079876,            0.010519,           0.0067612,            0.061194,           0.0041936,           0.0041936
                  11,            0.050315,            0.025261,           0.0046124,             0.37565,              0.5536,             0.42435,             0.19905,            0.073839,           0.0093277,           0.0047646,            0.057572,            0.004572,            0.004572
                  12,            0.058857,            0.019366,           0.0056382,             0.49581,                0.58,             0.49067,             0.22636,            0.079462,           0.0077491,           0.0052925,            0.053949,           0.0049485,           0.0049485
                  13,            0.057897,             0.02213,           0.0047691,             0.46495,                0.62,             0.55752,             0.29488,            0.073251,           0.0076931,            0.005999,            0.050323,            0.005323,            0.005323
                  14,            0.046628,            0.021986,           0.0031349,             0.51192,             0.67134,             0.56657,             0.26707,            0.078613,           0.0079253,           0.0082314,            0.046696,           0.0056956,           0.0056956
                  15,            0.054158,            0.022727,           0.0028727,             0.51523,                 0.6,             0.52758,              0.2466,            0.080065,           0.0078781,           0.0071266,            0.043066,           0.0060661,           0.0060661
                  16,             0.05338,            0.020082,           0.0018246,             0.53905,             0.65495,             0.50982,             0.25103,             0.07383,           0.0076263,           0.0085289,            0.039435,           0.0064347,           0.0064347
                  17,            0.039498,            0.018003,           0.0018138,             0.44962,                 0.6,             0.43455,             0.22091,            0.077897,           0.0077589,             0.00886,            0.035801,           0.0068013,           0.0068013
                  18,            0.042502,            0.021058,           0.0019023,             0.42662,             0.52083,             0.34998,             0.16297,            0.062384,           0.0076668,           0.0053841,            0.032166,           0.0071659,           0.0071659
                  19,            0.050847,            0.018084,           0.0021455,             0.48635,                 0.5,             0.43181,              0.2033,            0.060638,            0.007849,           0.0059639,            0.028529,           0.0075285,           0.0075285
                  20,            0.051524,            0.018887,           0.0027736,              0.6884,                0.54,             0.57035,             0.29654,            0.050682,           0.0079823,           0.0029488,            0.024889,           0.0078891,           0.0078891
                  21,            0.038814,            0.016434,           0.0018101,              0.7744,                0.68,             0.67853,             0.33952,            0.050855,           0.0077071,            0.001783,            0.021248,           0.0082478,           0.0082478
                  22,            0.044901,            0.019268,           0.0018271,             0.55725,                0.58,             0.50021,             0.28378,            0.048645,           0.0073161,           0.0018217,            0.017605,           0.0086045,           0.0086045
                  23,            0.037716,            0.017313,           0.0016553,             0.62911,                0.66,             0.53203,             0.27359,            0.060439,           0.0065203,           0.0032608,            0.013959,           0.0089592,           0.0089592
                  24,            0.052037,            0.024412,           0.0022405,             0.47939,                0.62,             0.50448,             0.28128,            0.078969,           0.0065858,           0.0068474,            0.010312,           0.0093119,           0.0093119
                  25,            0.048693,            0.016929,           0.0022537,             0.53757,                0.48,             0.46779,             0.23086,            0.080041,           0.0065382,           0.0064987,           0.0093813,           0.0093813,           0.0093813
