               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086699,            0.030263,            0.020975,           0.0064388,                0.84,             0.01393,           0.0049166,             0.07797,            0.019917,            0.022758,              0.0892,              0.0012,              0.0012
                   1,            0.077894,             0.03464,             0.01896,             0.21683,                 0.1,             0.13886,            0.050487,            0.058037,            0.017583,            0.018323,            0.077494,           0.0024938,           0.0024938
                   2,            0.067816,            0.031958,              0.0156,             0.47803,             0.32984,             0.32636,              0.1574,            0.052493,            0.015051,            0.014907,            0.065781,           0.0037812,           0.0037812
                   3,            0.060049,             0.02803,            0.012286,             0.55198,                0.38,             0.46205,              0.2053,            0.044377,            0.014023,            0.012293,            0.054062,           0.0050621,           0.0050621
                   4,            0.050822,             0.02632,           0.0082988,             0.45613,                0.38,             0.43095,             0.22166,            0.043568,            0.011966,           0.0070254,            0.042337,           0.0063366,           0.0063366
                   5,            0.048153,            0.024187,           0.0063455,             0.47145,                0.62,             0.53669,             0.26115,            0.044624,            0.010225,           0.0040291,            0.030605,           0.0076047,           0.0076047
                   6,            0.052262,            0.022547,           0.0044193,             0.49769,             0.45585,             0.52659,             0.23304,            0.042235,           0.0076733,           0.0019025,            0.018866,           0.0088663,           0.0088663
                   7,            0.048891,            0.019684,           0.0026378,              0.4642,             0.57189,             0.46583,             0.20789,            0.043954,           0.0069359,           0.0018408,           0.0098268,           0.0098268,           0.0098268
                   8,            0.052127,            0.020003,           0.0025742,             0.46555,             0.57497,             0.43751,              0.2146,            0.044355,           0.0065161,           0.0014923,           0.0098268,           0.0098268,           0.0098268
                   9,            0.055613,             0.01906,           0.0024376,             0.49078,                0.62,             0.48246,             0.22722,            0.042348,           0.0068003,           0.0012313,            0.009802,            0.009802,            0.009802
                  10,             0.05586,            0.023002,           0.0028584,             0.48161,                0.64,             0.52142,             0.27207,            0.043759,           0.0073926,           0.0027918,           0.0097773,           0.0097773,           0.0097773
                  11,            0.056765,            0.022433,            0.002935,              0.5033,                0.54,             0.55979,              0.3071,            0.042006,           0.0077885,           0.0016572,           0.0097525,           0.0097525,           0.0097525
                  12,            0.047848,            0.019382,           0.0019669,             0.55807,                 0.6,             0.58964,             0.30156,            0.039835,            0.007558,           0.0014257,           0.0097278,           0.0097278,           0.0097278
                  13,            0.051449,            0.020707,            0.002818,             0.53883,                 0.6,             0.59543,             0.32515,            0.031412,           0.0077903,           0.0011135,            0.009703,            0.009703,            0.009703
                  14,            0.043172,            0.023145,           0.0020846,             0.48313,             0.61697,             0.47161,             0.24434,            0.035111,           0.0073173,           0.0011946,           0.0096783,           0.0096783,           0.0096783
                  15,            0.048746,            0.019268,           0.0023234,             0.46478,             0.59058,              0.5496,             0.28106,            0.032568,           0.0076689,           0.0013673,           0.0096535,           0.0096535,           0.0096535
                  16,            0.038806,            0.022388,           0.0018243,             0.49459,                 0.7,             0.58577,             0.31434,             0.03516,           0.0072641,           0.0018756,           0.0096288,           0.0096288,           0.0096288
                  17,            0.047802,            0.019479,           0.0016599,             0.75011,             0.66038,             0.68967,              0.3682,            0.030657,            0.007795,           0.0019539,            0.009604,            0.009604,            0.009604
                  18,            0.039048,            0.020557,           0.0016007,             0.59685,                0.66,             0.57049,             0.21816,            0.030202,           0.0078871,           0.0021937,           0.0095793,           0.0095793,           0.0095793
                  19,            0.033995,            0.021006,           0.0014977,             0.36518,             0.57529,             0.42386,             0.20814,            0.036026,           0.0074018,           0.0015588,           0.0095545,           0.0095545,           0.0095545
                  20,            0.042307,            0.025649,           0.0015199,              0.4502,             0.57327,             0.44987,             0.20762,             0.03319,           0.0080446,            0.001531,           0.0095298,           0.0095298,           0.0095298
                  21,            0.037088,            0.022492,           0.0014784,             0.37546,             0.52911,             0.45907,             0.23394,            0.034279,            0.008196,           0.0014563,            0.009505,            0.009505,            0.009505
                  22,             0.03457,            0.020094,           0.0012347,             0.39309,                 0.3,             0.28696,              0.1514,            0.037112,           0.0080653,           0.0015322,           0.0094803,           0.0094803,           0.0094803
                  23,            0.046712,             0.01925,              0.0015,             0.35631,                 0.5,             0.38103,             0.21737,             0.03297,           0.0078579,           0.0014218,           0.0094555,           0.0094555,           0.0094555
                  24,            0.038427,            0.020869,           0.0015082,             0.77156,                0.66,             0.70161,             0.39392,            0.027119,           0.0076408,           0.0011791,           0.0094307,           0.0094307,           0.0094307
                  25,            0.032789,            0.019065,           0.0011999,             0.66884,             0.72717,             0.62357,             0.30254,            0.026028,           0.0078724,           0.0010673,            0.009406,            0.009406,            0.009406
                  26,            0.038769,            0.018821,           0.0010891,             0.47999,                 0.7,              0.5577,             0.29108,            0.033165,            0.007425,           0.0011937,           0.0093813,           0.0093813,           0.0093813
                  27,            0.031799,             0.02053,           0.0012151,             0.74072,                0.72,             0.70901,             0.28494,            0.031195,           0.0076751,           0.0012103,           0.0093565,           0.0093565,           0.0093565
                  28,            0.035653,            0.018573,            0.001218,             0.80843,                0.78,             0.79057,             0.40077,             0.02504,           0.0078009,           0.0012762,           0.0093317,           0.0093317,           0.0093317
                  29,            0.031181,            0.019624,           0.0011446,             0.86231,                 0.8,             0.78449,             0.40566,            0.027501,           0.0076772,           0.0010548,            0.009307,            0.009307,            0.009307
                  30,            0.039515,            0.020968,           0.0013313,             0.85646,                 0.8,             0.77808,             0.41029,            0.024963,           0.0080006,           0.0010023,           0.0092823,           0.0092823,           0.0092823
                  31,             0.03158,            0.020316,           0.0010034,             0.77605,                0.78,             0.70431,             0.35792,              0.0324,           0.0073769,           0.0011835,           0.0092575,           0.0092575,           0.0092575
                  32,            0.036326,            0.019317,           0.0010616,             0.79831,                0.72,             0.74074,             0.41132,            0.025237,            0.007946,           0.0012657,           0.0092327,           0.0092327,           0.0092327
                  33,            0.034176,            0.018414,             0.00105,             0.70169,                0.72,             0.72227,             0.31643,            0.024766,           0.0081225,           0.0010939,            0.009208,            0.009208,            0.009208
                  34,             0.03252,            0.021484,           0.0011551,             0.76572,                0.76,             0.72657,             0.37731,             0.02569,           0.0077339,           0.0010814,           0.0091833,           0.0091833,           0.0091833
                  35,            0.027432,            0.019009,          0.00091686,             0.72357,                0.76,              0.6663,             0.29407,             0.02802,           0.0073491,          0.00096448,           0.0091585,           0.0091585,           0.0091585
                  36,            0.040066,            0.025254,          0.00090586,             0.83732,             0.72057,             0.76309,              0.4396,            0.026199,           0.0073584,          0.00099653,           0.0091337,           0.0091337,           0.0091337
                  37,            0.028357,            0.020231,          0.00079203,             0.77025,                0.74,             0.77015,             0.36788,            0.028008,            0.007252,          0.00099983,            0.009109,            0.009109,            0.009109
                  38,             0.03244,            0.017009,          0.00088617,             0.80355,                0.72,             0.70474,             0.34778,            0.029362,           0.0073269,           0.0010242,           0.0090843,           0.0090843,           0.0090843
                  39,            0.032337,            0.019541,          0.00078678,             0.84051,                0.64,             0.75203,             0.41417,            0.029022,           0.0073213,          0.00098332,           0.0090595,           0.0090595,           0.0090595
                  40,            0.034119,            0.018697,          0.00089503,             0.78078,                0.72,             0.70539,             0.32809,            0.028662,           0.0076474,           0.0008749,           0.0090347,           0.0090347,           0.0090347
                  41,            0.034477,             0.01498,          0.00079333,             0.60234,             0.69681,              0.6515,             0.34039,            0.031002,           0.0077295,          0.00088938,             0.00901,             0.00901,             0.00901
                  42,            0.031797,            0.016279,          0.00074639,             0.49671,                0.68,             0.58791,             0.25878,             0.02922,            0.008496,          0.00082792,           0.0089853,           0.0089853,           0.0089853
                  43,            0.030908,            0.017454,          0.00079746,             0.57052,                0.74,             0.66319,             0.32266,            0.028698,           0.0080965,          0.00086047,           0.0089605,           0.0089605,           0.0089605
                  44,            0.031109,            0.018488,          0.00077553,             0.85893,                0.64,             0.75084,              0.3895,            0.025351,           0.0077803,          0.00077807,           0.0089358,           0.0089358,           0.0089358
                  45,            0.033286,            0.017066,          0.00098784,             0.87527,              0.7018,             0.80049,             0.41519,            0.026883,           0.0072714,          0.00085042,            0.008911,            0.008911,            0.008911
                  46,             0.03942,            0.019016,          0.00074583,             0.80667,             0.75117,             0.78853,             0.42305,            0.027162,           0.0070851,           0.0008338,           0.0088863,           0.0088863,           0.0088863
                  47,            0.033832,            0.017208,          0.00095364,             0.77629,                 0.7,             0.75732,             0.42822,            0.025394,           0.0069829,          0.00092157,           0.0088615,           0.0088615,           0.0088615
