               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.036388,             0.01937,           0.0010594,             0.79245,             0.61102,             0.64074,             0.32089,            0.046218,           0.0069442,            0.003178,           0.0091585,           0.0091585,           0.0091585
                  36,            0.045487,            0.031192,           0.0012724,               0.812,              0.6912,             0.67377,             0.30605,            0.046035,           0.0066704,           0.0032326,           0.0091337,           0.0091337,           0.0091337
                  37,            0.035305,            0.020897,          0.00085782,             0.84824,             0.67085,             0.75246,             0.31583,            0.038651,           0.0071979,           0.0018145,            0.009109,            0.009109,            0.009109
                  38,            0.030701,             0.01751,          0.00079467,                0.65,             0.74292,             0.75196,             0.32575,            0.032239,           0.0066612,           0.0010707,           0.0090843,           0.0090843,           0.0090843
                  39,            0.040745,            0.020781,          0.00097583,             0.85429,                0.74,             0.85405,             0.41048,             0.02877,           0.0062075,            0.001105,           0.0090595,           0.0090595,           0.0090595
                  40,            0.030256,            0.019778,          0.00087168,             0.79254,                0.82,             0.85487,             0.43273,            0.023476,           0.0064455,          0.00098815,           0.0090347,           0.0090347,           0.0090347
                  41,             0.03639,            0.015582,          0.00075119,             0.66169,                0.66,             0.68045,             0.23324,            0.030794,           0.0061109,            0.001125,             0.00901,             0.00901,             0.00901
                  42,            0.038789,            0.015857,          0.00075092,               0.665,                0.66,             0.69102,             0.31783,            0.027784,           0.0064729,           0.0010179,           0.0089853,           0.0089853,           0.0089853
                  43,            0.036373,            0.017405,           0.0007391,             0.60285,                0.74,             0.61819,             0.26389,              0.0299,           0.0067855,          0.00088413,           0.0089605,           0.0089605,           0.0089605
                  44,            0.044726,            0.018451,          0.00072261,             0.72428,             0.78815,              0.7463,             0.33973,            0.026132,           0.0067654,          0.00087576,           0.0089358,           0.0089358,           0.0089358
                  45,            0.043438,            0.015817,           0.0011289,             0.56408,              0.5953,             0.57995,             0.19757,             0.03085,           0.0068699,          0.00077005,            0.008911,            0.008911,            0.008911
                  46,            0.048108,            0.020145,           0.0011114,             0.65369,              0.6041,              0.6778,             0.31839,            0.023513,           0.0078527,          0.00062506,           0.0088863,           0.0088863,           0.0088863
                  47,            0.037972,            0.017993,          0.00078177,             0.72208,             0.72759,             0.78674,             0.37878,            0.025239,           0.0071331,          0.00074065,           0.0088615,           0.0088615,           0.0088615
                  48,            0.033107,            0.016597,          0.00086057,             0.76319,             0.64463,             0.69657,             0.24183,            0.028078,           0.0069479,          0.00077054,           0.0088368,           0.0088368,           0.0088368
                  49,            0.032116,            0.018045,          0.00084084,             0.80793,                 0.6,             0.70993,             0.35881,            0.025019,           0.0074393,          0.00085609,            0.008812,            0.008812,            0.008812
                  50,            0.037703,            0.022123,          0.00093663,             0.45609,                0.52,             0.47625,             0.18667,            0.027556,           0.0086533,           0.0008307,           0.0087872,           0.0087872,           0.0087872
                  51,            0.039236,            0.017617,          0.00087599,              0.5585,                 0.5,             0.52485,             0.25141,            0.024698,           0.0085132,           0.0008033,           0.0087625,           0.0087625,           0.0087625
                  52,            0.031454,            0.017363,           0.0008261,             0.70754,                0.66,             0.68125,             0.33582,            0.024964,           0.0079511,          0.00084519,           0.0087378,           0.0087378,           0.0087378
                  53,            0.030689,             0.01375,          0.00099032,             0.79944,             0.71753,             0.76226,              0.3358,             0.02443,           0.0072926,          0.00081623,            0.008713,            0.008713,            0.008713
                  54,            0.027351,            0.015026,          0.00086221,             0.87762,              0.7172,             0.80235,             0.43903,            0.024717,           0.0069562,           0.0008001,           0.0086882,           0.0086882,           0.0086882
                  55,              0.0309,            0.018763,          0.00090814,             0.85329,                0.74,             0.76486,              0.3978,            0.025415,           0.0071726,          0.00080843,           0.0086635,           0.0086635,           0.0086635
