               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10472,            0.031706,            0.025949,            0.006912,                 0.8,            0.011072,           0.0037466,             0.12698,            0.020992,            0.033429,              0.0973,              0.0003,              0.0003
                   1,              0.1012,            0.033883,            0.025708,            0.013761,                0.72,            0.015991,           0.0047074,             0.11703,            0.019104,            0.031024,            0.093697,          0.00069653,          0.00069653
                   2,            0.094291,            0.030338,            0.024362,            0.020229,                0.22,            0.025413,           0.0073159,             0.10321,            0.018066,            0.031702,            0.090089,           0.0010891,           0.0010891
                   3,            0.092126,            0.033751,            0.026333,             0.10754,                0.12,            0.062953,            0.021375,             0.10498,            0.017288,            0.034528,            0.086478,           0.0014777,           0.0014777
                   4,            0.078307,            0.031892,            0.020487,            0.031819,                0.84,              0.0905,            0.029188,             0.10499,            0.016766,            0.031622,            0.082862,           0.0018624,           0.0018624
                   5,            0.053779,            0.026912,            0.013751,             0.67041,                0.32,             0.42397,             0.23002,            0.087501,            0.015279,            0.019186,            0.079243,           0.0022431,           0.0022431
                   6,            0.058244,             0.03096,            0.011287,              0.5478,             0.43618,             0.47013,             0.22294,            0.091265,            0.013713,            0.015274,             0.07562,           0.0026198,           0.0026198
                   7,            0.058767,            0.030766,            0.011238,             0.49258,             0.58249,             0.51984,             0.23161,            0.085274,            0.012975,            0.013924,            0.071993,           0.0029926,           0.0029926
                   8,            0.062902,            0.028908,            0.010114,             0.48156,                0.58,             0.51634,             0.22887,            0.058585,            0.013362,           0.0077484,            0.068361,           0.0033614,           0.0033614
                   9,            0.058346,            0.027162,           0.0065801,             0.25683,                 0.5,             0.23814,              0.1068,            0.052619,            0.012576,           0.0030529,            0.064726,           0.0037263,           0.0037263
                  10,            0.063051,            0.026484,           0.0070597,             0.50271,                0.54,             0.48266,             0.26087,            0.069339,            0.011441,           0.0072342,            0.061087,           0.0040871,           0.0040871
                  11,            0.051803,            0.024888,           0.0047291,             0.44364,             0.51043,             0.41015,             0.18327,            0.073064,           0.0095112,           0.0077812,            0.057444,           0.0044441,           0.0044441
                  12,            0.052899,            0.020764,           0.0044611,             0.34915,              0.4399,             0.34652,             0.14244,            0.066357,            0.009155,            0.010033,            0.053797,           0.0047971,           0.0047971
